rain,humid,storage,used ,flow ,discharge
0,992.8,3.8,3.09,0.06,No risk
0,992.9,3.8,3.09,0.06,No risk
0,993.5,3.77,3.06,0.01,No risk
0,994.1,3.77,3.06,0.01,No risk
0,995.1,3.77,3.06,0.01,No risk
2,995.9,3.77,3.06,0.01,No risk
1.2,-999,3.8,3.09,0.06,No risk
0,-999,3.8,3.09,0.06,No risk
0,-999,3.8,3.09,0.06,No risk
0,-999,3.8,3.09,0.06,No risk
0,-999,3.76,3.05,0.01,No risk
0,-999,3.76,3.05,0.01,No risk
0,-999,3.76,3.05,0.01,No risk
